gene genename zscore effect_size pvalue pred_perf_R2 n_snps_used n_snps_in_model Trait
ENSG00000187244 BCAM 17.8860179061976 8.00823817294629 0 0.0217235889890914 16 16 AD
ENSG00000104853 CLPTM1 -8.73469032303265 -2.80760810017095 0 0.0264936588820713 26 26 AD
ENSG00000213760 ATP6V1G2 7.80814234959368 0.0931405310466888 5.77315972805081e-15 0.0289085676410552 242 242 AD
ENSG00000109919 MTCH2 -7.27557296467079 -3.28401222991693 3.45057316053499e-13 0.0275322804408665 5 5 AD
ENSG00000126883 NUP214 7.02309209675782 0.156563704935354 2.17004192393233e-12 0.0276533569365375 106 106 AD
ENSG00000110514 MADD -6.97 -18.6652948433709 3.1694646906999e-12 0.0430201449925329 1 1 AD
ENSG00000189091 SF3B3 -6.86914107215278 -0.256195248415888 6.45905551266424e-12 0.0328057743941997 31 31 AD
ENSG00000198563 DDX39B 6.47335219385202 0.0843557187522865 9.58522150540375e-11 0.0270301173716963 241 241 AD
ENSG00000213719 CLIC1 5.81896768024299 0.0854435987588868 5.9212181824364e-09 0.0243754208798898 241 241 AD
ENSG00000144895 EIF2A 5.5128449900436 0.109653551568199 3.53079183668115e-08 0.0427364790891691 118 119 AD
ENSG00000165912 PACSIN3 5.32944977014957 6.16301378976625 9.85107602158308e-08 0.0289710732672256 3 3 AD
ENSG00000165916 PSMC3 4.87372363233202 0.574518659721614 1.09514167423441e-06 0.0239400297924311 5 5 AD
ENSG00000139531 SUOX -4.85229619795198 -0.113448887845143 1.22040170325022e-06 0.0275034193265311 30 30 AD
ENSG00000204267 TAP2 -4.78586294150388 -0.074863424623198 1.7025421634731e-06 0.0225715269872884 196 196 AD
ENSG00000147677 EIF3H -4.59460540512952 -0.132683959961379 4.3356892720503e-06 0.0394155016294383 65 65 AD
ENSG00000135424 ITGA7 -4.50079386223394 -0.184291574316313 6.77001375093411e-06 0.0102376877687589 27 27 AD
ENSG00000040933 INPP4A 4.48342216283949 0.10154306254448 7.34554041503799e-06 0.0123950356733595 55 55 AD
ENSG00000204310 AGPAT1 -4.45527481721926 -4.40548428799401 8.37857979285594e-06 0.0222441860061065 9 9 AD
ENSG00000119401 TRIM32 4.40233650192921 0.0867616770533081 1.07091287429029e-05 0.0144311416430686 135 135 AD
ENSG00000214530 STARD10 -4.36959245243588 -0.112211666170347 1.24478631651215e-05 0.0429954319123009 70 70 AD
ENSG00000103043 VAC14 -4.3596871672122 -0.158449966079619 1.30248509728759e-05 0.0116497631356293 37 37 AD
ENSG00000178922 HYI -5.16958367548212 -1.70568987493853 2.34616069461069e-07 0.184150687910168 2 3 ADHD
ENSG00000070785 EIF2B3 5.04693014402539 3.21469613181118 4.48965409960422e-07 0.0211685046581056 20 24 ADHD
ENSG00000163528 CHCHD4 -4.73890527365037 -0.0519200310790021 2.14875917392554e-06 0.0268457610045516 120 132 ADHD
ENSG00000063245 EPN1 -4.50682878975348 -0.049594047377979 6.58036871659107e-06 0.0333274019692911 118 149 ADHD
ENSG00000074800 ENO1 4.45355807785419 0.828035453648379 8.44588484816278e-06 0.0240776057260268 37 44 ADHD
ENSG00000213760 ATP6V1G2 -10.0934159658716 -0.0147796321011455 0 0.0289085676410552 242 242 AgeSmk
ENSG00000198563 DDX39B -9.75633391406794 -0.016665759342004 0 0.0270301173716963 241 241 AgeSmk
ENSG00000204580 DDR1 -7.85445443769131 -0.0219044210798152 3.99680288865056e-15 0.0384734111309753 202 202 AgeSmk
ENSG00000014641 MDH1 7.24258485267249 2.98536334000966 4.40314451566337e-13 0.0108303166251791 5 5 AgeSmk
ENSG00000213719 CLIC1 -6.95768317158065 -0.0157341661119705 3.45923290012706e-12 0.0243754208798898 240 241 AgeSmk
ENSG00000196277 GRM7 6.9341310097452 0.0299352717684319 4.08717504285505e-12 0.0346643427207642 201 202 AgeSmk
ENSG00000120992 LYPLA1 -6.74373426795643 -1.34742237595297 1.54367629789931e-11 0.0370634969241316 13 13 AgeSmk
ENSG00000115539 PDCL3 6.50631034403694 0.0341685843459419 7.70190577981111e-11 0.0226911090282291 71 71 AgeSmk
ENSG00000149782 PLCB3 -5.63790743484584 -0.637899917922793 1.72128986619668e-08 0.0971825845953386 5 5 AgeSmk
ENSG00000180228 PRKRA -5.58452342496003 -0.0138397357799039 2.34341932525695e-08 0.0113861442114604 45 45 AgeSmk
ENSG00000179950 PUF60 5.57537375303498 0.0176302163374021 2.46998981268121e-08 0.0111299871294982 35 35 AgeSmk
ENSG00000090989 EXOC1 -5.47156105496162 -0.0245066865820476 4.46088603833772e-08 0.015053524416989 94 94 AgeSmk
ENSG00000137312 FLOT1 -5.339869477213 -0.0138723575630023 9.30135226617779e-08 0.0197796512898655 145 146 AgeSmk
ENSG00000185189 NRBP2 5.30740352713885 0.0164729451919351 1.11197824281817e-07 0.021452972019684 34 34 AgeSmk
ENSG00000119596 YLPM1 5.22480052741773 0.00198660358743977 1.74342952297124e-07 0.0131522794330733 47 47 AgeSmk
ENSG00000138760 SCARB2 5.18583213754649 0.0140440098490327 2.15052448293562e-07 0.0396661766752086 69 69 AgeSmk
ENSG00000164134 NAA15 -5.17463258408427 -0.0267469619638251 2.28359904319575e-07 0.0234197171920208 123 123 AgeSmk
ENSG00000189043 NDUFA4 -5.13995136920289 -0.0151317996156178 2.74809583977742e-07 0.0149257029598817 103 103 AgeSmk
ENSG00000089220 PEBP1 -5.07496195613221 -0.0166637380721596 3.87573537707908e-07 0.0209821320122034 142 142 AgeSmk
ENSG00000167193 CRK -5.06079616230825 -0.0276556041500449 4.17509385064463e-07 0.0151616784686801 108 109 AgeSmk
ENSG00000189091 SF3B3 -4.93785499409492 -0.0472806066040854 7.89865371775278e-07 0.0328057743941997 31 31 AgeSmk
ENSG00000115355 CCDC88A -4.88360999728866 -0.0217002597592705 1.04160999314651e-06 0.0136821763076932 108 109 AgeSmk
ENSG00000140990 NDUFB10 4.78627272182345 0.018997611808092 1.69907144154102e-06 0.0183907182981706 40 40 AgeSmk
ENSG00000123545 NDUFAF4 4.75924507185058 0.0213008823365706 1.94318381430136e-06 0.0120475972637673 35 35 AgeSmk
ENSG00000102580 DNAJC3 -4.74565438810084 -0.0182849409776081 2.07833318910389e-06 0.0252098092954622 101 102 AgeSmk
ENSG00000142937 RPS8 -4.73012547727494 -0.0277928455358037 2.24381109514837e-06 0.0300675857901025 49 49 AgeSmk
ENSG00000177150 FAM210A 4.68027561430235 0.0126555817976548 2.86489513068311e-06 0.0333082399976908 103 104 AgeSmk
ENSG00000158604 TMED4 -4.64846667907386 -0.0516625719892538 3.34411629077103e-06 0.0122677631311704 40 40 AgeSmk
ENSG00000162923 WDR26 -4.61587088741534 -0.026768847143009 3.91450267556159e-06 0.021260698982501 65 65 AgeSmk
